nombre,partido,PARTIDO_PARA_FILTRO,GENERO,CARGO_PARA_FILTRO,CARGO,INSTITUCION,CCAA,SUELDOBASE_SUELDO,COMPLEMENTOS_SUELDO,PAGASEXTRA_SUELDO,OTRASDIETASEINDEMNIZACIONES_SUELDO,TRIENIOS_SUELDO,RETRIBUCIONMENSUAL,salarioAnual,OBSERVACIONES
Antonio Pérez Pérez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de  Benidorm,Comunidad Valenciana,55999.3,,,0,,3999.95,55999.3,Dedicación Exclusiva
Luis Rodríguez Pérez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de  Benijófar,Comunidad Valenciana,36527.92,,,0,,2609.14,36527.92,Dedicación Exclusiva
Ana Delia Gisbert Climent,Compromís,Compromís,Mujer,Alcalde,Alcaldesa,Ayuntamiento de  Benilloba,Comunidad Valenciana,14449.54,,,0,,1032.11,14449.54,Dedicación Parcial
Felipe Miralles Solbes,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de  Benimantell,Comunidad Valenciana,0,,,2160,,154.29,2160,Sin dedicación
José Lull Llopis,UpB,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de  Benimeli,Comunidad Valenciana,0,,,4560,,325.71,4560,Sin dedicación
Abel Cardona Castell,RB,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de  Benissa,Comunidad Valenciana,23350.8,,,1130,,1748.63,24480.8,Dedicación Parcial
Julio Luis Sanjuan Martínez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de  Biar,Comunidad Valenciana,24318,,,0,,1737,24318,Dedicación Parcial
Teresa María Belmonte Sánchez,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de  Bigastro,Comunidad Valenciana,35300,,,0,,2521.43,35300,Dedicación Parcial
Andrés Ferrer Ruiz,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Bolulla,Comunidad Valenciana,0,,,100,,7.14,100,Sin dedicación
Alejandro Morant Climent,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Busot,Comunidad Valenciana,0,,,7025,,501.79,7025,Sin dedicación
Francisco José Maciá Serna,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Callosa de Segura,Comunidad Valenciana,30800,,,0,,2200,30800,Dedicación Exclusiva
Josep Saval Gregori,Compromís,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de Callosa d'en Sarrià,Comunidad Valenciana,39900,,,0,,2850,39900,Dedicación Exclusiva
Benjamí Soler Palomares,Compromís,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de Campello,Comunidad Valenciana,42499.94,,,0,,3035.71,42499.94,Dedicación Exclusiva
Juan Sempere Esteve,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Campo de Mirra/Camp de Mirra,Comunidad Valenciana,0,,,1500,,107.14,1500,Sin dedicación
Antonio Bernabéu Bernabéu,Ciudadanos,Ciudadanos,Hombre,Alcalde,Alcalde,Ayuntamiento de Castalla,Comunidad Valenciana,22400,,,0,,1600,22400,Dedicación Exclusiva
Pedro Zaplana García,APCATRAL,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de CATRAL,Comunidad Valenciana,34999.92,,,0,,2499.99,34999.92,Dedicación Exclusiva
Mireia Estepa Olcina,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Cocentaina,Comunidad Valenciana,49153.44,,,0,,3510.96,49153.44,Dedicación Exclusiva
José Buades Llorca,Ciudadanos,Ciudadanos,Hombre,Alcalde,Alcalde,Ayuntamiento de Confrides,Comunidad Valenciana,0,,,105,,7.5,105,Sin dedicación
Francisco Cámara Hurtado,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Cox,Comunidad Valenciana,0,,,4521.26,,322.95,4521.26,Sin dedicación
María Teresa Martínez Girona,UPDN,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Daya Nueva,Comunidad Valenciana,23100,,,0,,1650,23100,Dedicación Exclusiva
Rafael Vives Pertusa,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Daya Vieja,Comunidad Valenciana,22000.02,,,0,,1571.43,22000.02,Dedicación Parcial
Vicent Grimalt Boronat,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de DÉNIA,Comunidad Valenciana,43249.36,,,0,,3089.24,43249.36,Dedicación Exclusiva
José Joaquín Hernández Saez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Dolores,Comunidad Valenciana,0,,,10940,,781.43,10940,Sin dedicación
Carlos González Serna,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Elche/Elx,Comunidad Valenciana,61927.2,,,0,,4423.37,61927.2,Dedicación Exclusiva
Rubén Alfaro Bernabé,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Elda,Comunidad Valenciana,53732,,,0,,3838,53732,Dedicación Exclusiva
José Vicente Masanet Ferrer,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Famorca,Comunidad Valenciana,0,,,250,,17.86,250,Sin dedicación
Juan Francisco Pérez Llorca,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Finestrat,Comunidad Valenciana,42715.68,,,0,,3051.12,42715.68,Dedicación Exclusiva
Raquel Asencio Cremades,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de El Fondó de les Neus/Hondón de las Nieves,Comunidad Valenciana,5525.4,,,0,,394.67,5525.4,Dedicación Parcial
Francisco Cano Murcia,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Formentera del Segura,Comunidad Valenciana,32590.38,,,0,,2327.88,32590.38,Dedicación Exclusiva
Magdalena Eugenia Mengual Morata,Compromís,Compromís,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Gaianes,Comunidad Valenciana,3969.84,,,0,,283.56,3969.84,Dedicación Parcial
Francisco Javier Mora Rocamora,IGr,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Gata de Gorgos,Comunidad Valenciana,0,,,3075,,219.64,3075,Sin dedicación
José Luis Sáez Pastor,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Guardamar del Segura,Comunidad Valenciana,38380.02,,,0,,2741.43,38380.02,Dedicación Exclusiva
Eleuterio Jover García,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Hondón de los Frailes,Comunidad Valenciana,0,,,420,,30,420,Sin dedicación
Rafael Serralta Vilaplana,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Ibi,Comunidad Valenciana,45651.2,,,0,,3260.8,45651.2,Dedicación Exclusiva
Pilar Díaz Rodríguez,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Jacarilla,Comunidad Valenciana,31999.92,,,0,,2285.71,31999.92,Dedicación Exclusiva
Isabel López Galera,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de JIJONA/XIXONA,Comunidad Valenciana,42000,,,0,,3000,42000,Dedicación Exclusiva
José Juan Reus Reus,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Llíber,Comunidad Valenciana,39200,,,0,,2800,39200,Dedicación Parcial
Arnaldo Dueñas Crespo,TPL,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de LORCHA/L'ORXA,Comunidad Valenciana,9072.78,,,0,,648.06,9072.78,Dedicación Parcial
César Francisco García Bonet,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de  Millena,Comunidad Valenciana,0,,,1570,,112.14,1570,Sin dedicación
Natxo Vidal Guardiola,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de  Monóvar/Monòver,Comunidad Valenciana,0,,,1639,,117.07,1639,Sin dedicación
José Manuel Butrón Sánchez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Los Montesinos,Comunidad Valenciana,36323.28,,,0,,2594.52,36323.28,Dedicación Exclusiva
Juan Fernando Giner Riera,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Murla,Comunidad Valenciana,0,,,4644,,331.71,4644,Sin dedicación
Jacquelin Cerdà Garcia,Compromís,Compromís,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Muro de Alcoy,Comunidad Valenciana,20638.8,,,0,,1474.2,20638.8,Dedicación Parcial
Sebastián Cañadas Gallardo,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Mutxamel,Comunidad Valenciana,0,,,4811,,343.64,4811,Sin dedicación
Armando José Esteve López,N.ADS.,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Novelda,Comunidad Valenciana,27200.04,,,0,,1942.86,27200.04,Dedicación Parcial
José Ramiro Pastor,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Ondara,Comunidad Valenciana,21422.1,,,0,,1530.15,21422.1,Dedicación Exclusiva
Humildad Guill Fuster,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Onil,Comunidad Valenciana,37097.24,,,0,,2649.8,37097.24,Dedicación Exclusiva
Emilio Bascuñana Galiano,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Orihuela,Comunidad Valenciana,57125.6,,,0,,4080.4,57125.6,Dedicación Exclusiva
José Vicente Ferriz Soriano,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Orxeta,Comunidad Valenciana,29898.32,,,0,,2135.59,29898.32,Dedicación Exclusiva
Máxima Revilla Martínez,CDP,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Parcent,Comunidad Valenciana,6480,,,0,,462.86,6480,Dedicación Parcial
Sergi Ferrus Peris,Compromís,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de Pedreguer,Comunidad Valenciana,38073.98,,,0,,2719.57,38073.98,Dedicación Exclusiva
Enrique Moll Briones,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Pego,Comunidad Valenciana,32378.35,,,0,,2312.74,32378.35,Dedicación Exclusiva
Irene Navarro Díaz,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Petrer,Comunidad Valenciana,42467.6,,,0,,3033.4,42467.6,Dedicación Exclusiva
Ignacio Ramos García,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Pilar de la Horadada,Comunidad Valenciana,0,,,19950,,1425,19950,Sin dedicación
Lázaro Azorín Salar,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de El Pinós/ Pinoso,Comunidad Valenciana,37780.12,,,0,,2698.58,37780.12,Dedicación Exclusiva
Salvador Sendra Gasquet,Compromís,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de ELS POBLETS,Comunidad Valenciana,29451.96,,,0,,2103.71,29451.96,Dedicación Exclusiva
Gabriel Fernández Fernández,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Polop,Comunidad Valenciana,39900,,,0,,2850,39900,Dedicación Exclusiva
Manuel Pineda Cuenca,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Rafal,Comunidad Valenciana,0,,,6840,,488.57,6840,Sin dedicación
Emilio Manuel Fernández Escudero,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Redován,Comunidad Valenciana,21000,,,0,,1500,21000,Dedicación Parcial
Santiago Cantó Pérez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Relleu,Comunidad Valenciana,29501.78,,,0,,2107.27,29501.78,Dedicación Exclusiva
Nelson Romero Pastor,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de La Romana,Comunidad Valenciana,26460,,,0,,1890,26460,Dedicación Exclusiva
Francisco Javier Gasquet Simo,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de SAGRA,Comunidad Valenciana,6546.6,,,0,,467.61,6546.6,Dedicación Parcial
Isidro Monzó Pérez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Salinas,Comunidad Valenciana,18000,,,0,,1285.71,18000,Dedicación Parcial
Manuel Gómez Rebagliato,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de San Fulgencio,Comunidad Valenciana,36400,,,0,,2600,36400,Dedicación Exclusiva
Manuel Gil Gómez Cases,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de SAN ISIDRO,Comunidad Valenciana,19924.24,,,0,,1423.16,19924.24,Dedicación Parcial
Ángel Sáez Huertas,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de San Miguel de Salinas,Comunidad Valenciana,28000,,,0,,2000,28000,Dedicación Parcial
Jesús Javier Villar Notario,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,Comunidad Valenciana,45904.6,,,0,,3278.9,45904.6,Dedicación Exclusiva
Juan Alejandro Mut Sirera,I-SANET,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Sanet y Negrals,Comunidad Valenciana,0,,,4290,,306.43,4290,Sin dedicación
Jaime Joaquín Albero Gabriel,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de SANT JOAN D'ALACANT,Comunidad Valenciana,31781.4,,,0,,2270.1,31781.4,Dedicación Exclusiva
Yolanda Selva Ruíz,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Santa Pola,Comunidad Valenciana,37971.62,,,0,,2712.26,37971.62,Dedicación Exclusiva
Juan José Alberto Herrero Rico,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Sax,Comunidad Valenciana,10500,,,0,,750,10500,Dedicación Parcial
María del Milagro Llinares Fenollar,ES,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Sella,Comunidad Valenciana,10800,,,0,,771.43,10800,Dedicación Parcial
Josep Ivars Crespo,Compromís,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de Senija,Comunidad Valenciana,0,,,150,,10.71,150,Sin dedicación
Thierry Vicente Armand Más Soliveres,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Tàrbena,Comunidad Valenciana,5544,,,0,,396,5544,Dedicación Parcial
Carlos Linares Bañón,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de TEULADA,Comunidad Valenciana,41574.7,,,0,,2969.62,41574.7,Dedicación Exclusiva
Juan José Ballester Sirvent,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Tibi,Comunidad Valenciana,21488.04,,,0,,1534.86,21488.04,Dedicación Exclusiva
José Manuel Dolón García,Los Verdes,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Torrevieja,Comunidad Valenciana,0,,,26706.92,,1907.64,26706.92,Sin dedicación
Francisco Luis Gilabert Mengual,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de La VALL DE LAGUAR,Comunidad Valenciana,7248.84,,,0,,517.77,7248.84,Dedicación Parcial
Leonor Nazaria Jiménez Dámaso,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de La Vall d'Ebo,Comunidad Valenciana,0,,,150,,10.71,150,Sin dedicación
Josep Basili Salort Bertomeu,Compromís,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de El Verger,Comunidad Valenciana,1505.97,,,0,,107.57,1505.97,Dedicación Parcial
Andrés Verdú Reos,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de VILLAJOYOSA/LA VILA JOIOSA,Comunidad Valenciana,53249.28,,,0,,3803.52,53249.28,Dedicación Exclusiva
Francisco Javier Esquembre Menor,LVE,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de VILLENA,Comunidad Valenciana,43587.15,,,0,,3113.37,43587.15,Dedicación Exclusiva
Joan Miquel Garcés Font,Compromís,Compromís,Hombre,Alcalde,Alcalde,Ayuntamiento de Xaló,Comunidad Valenciana,35350,,,0,,2525,35350,Dedicación Exclusiva
José Vicente Pico Hernández,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Alatoz,Castilla-La Mancha,0,,,350,,25,350,Sin dedicación
Francisco José Mansilla Pérez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de ALBACETE,Castilla-La Mancha,62358.56,,,0,,4454.18,62358.56,Dedicación Exclusiva
José Luis Vidal Arocas,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de ALBATANA,Castilla-La Mancha,19796,,,0,,1414,19796,Dedicación Parcial
Pedro Antonio González Jiménez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Alborea,Castilla-La Mancha,16648.24,,,0,,1189.16,16648.24,Dedicación Parcial
Pedro Jesús Valero Montoya,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Alcalá del Júcar,Castilla-La Mancha,22663.62,,,866.16,,1680.7,23529.78,Dedicación Parcial
Francisco Javier Núñez Núñez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Alcaraz,Castilla-La Mancha,23100,,,0,,1650,23100,Dedicación Exclusiva
Noelia Garrigos Simón,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Balazote,Castilla-La Mancha,0,,,8400,,600,8400,Sin dedicación
José Luis López Pérez,Ciudadanos,Ciudadanos,Hombre,Alcalde,Alcalde,Ayuntamiento de Bogarra,Castilla-La Mancha,11856.95,,,0,,846.93,11856.95,Dedicación Parcial
Ángel Navalón García,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Bonete,Castilla-La Mancha,0,,,4360,,311.43,4360,Sin dedicación
María Eugenia Cuartero Garrido,AICL,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Casas de Lázaro,Castilla-La Mancha,26259.94,,,0,,1875.71,26259.94,Dedicación Parcial
Antonio Francisco Valiente Sánchez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Casas de Ves,Castilla-La Mancha,8888,,,0,,634.86,8888,Dedicación Parcial
Carmen Navalón Pérez,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Casas-Ibáñez,Castilla-La Mancha,34328.55,,,0,,2452.04,34328.55,Dedicación Exclusiva
Moisés López Martínez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Caudete,Castilla-La Mancha,11958.96,,,14400,,1882.78,26358.96,Dedicación Exclusiva
Enrique Navarro Carrión,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Cenizate,Castilla-La Mancha,22400,,,0,,1600,22400,Dedicación Exclusiva
José Ignacio Díaz Huedo,Ganemos-IU,Unidos Podemos. confluencias y listas afines,Hombre,Alcalde,Alcalde,Ayuntamiento de Chinchilla de Monte-Aragón,Castilla-La Mancha,1944.28,,,8420.5,,740.34,10364.78,Dedicación Parcial
José Manuel Núñez Núñez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Fuensanta,Castilla-La Mancha,15150,,,0,,1082.14,15150,Dedicación Parcial
Félix Torralba Castillo,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Fuente-Álamo,Castilla-La Mancha,33742.58,,,0,,2410.18,33742.58,Dedicación Exclusiva
Ángel Salmerón Garrido,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Fuentealbilla,Castilla-La Mancha,33446.46,,,0,,2389.03,33446.46,Dedicación Exclusiva
Antonio Belmonte Moraga,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de La Gineta,Castilla-La Mancha,29400,,,0,,2100,29400,Dedicación Exclusiva
Ramón García Rodríguez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Hellín,Castilla-La Mancha,0,,,7093.08,,506.65,7093.08,Sin dedicación
Óscar Tomás Martínez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Higueruela,Castilla-La Mancha,26866,,,0,,1919,26866,Dedicación Exclusiva
Jesús María Jiménez Sánchez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Jorquera,Castilla-La Mancha,16743.5,,,0,,1195.96,16743.5,Dedicación Parcial
Alfonso Avendaño Sánchez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Lezuza,Castilla-La Mancha,30000.04,,,0,,2142.86,30000.04,Dedicación Exclusiva
Josefa Moreno Docón,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Liétor,Castilla-La Mancha,26737.62,,,0,,1909.83,26737.62,Dedicación Exclusiva
Juan Carlos Talavera Utiel,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Madrigueras,Castilla-La Mancha,31990,,,0,,2285,31990,Dedicación Exclusiva
Pedro Iniesta Cuerda,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Masegoso,Castilla-La Mancha,0,,,758,,54.14,758,Sin dedicación
Juan José Grande González,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Minaya,Castilla-La Mancha,0,,,1800,,128.57,1800,Sin dedicación
María Dolores Serrano Gutiérrez,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Molinicos,Castilla-La Mancha,24248.56,,,0,,1732.04,24248.56,Dedicación Parcial
Víctor Manuel Hidalgo Olivares,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Montalvos,Castilla-La Mancha,0,,,153,,10.93,153,Sin dedicación
Sinforiano Montes Sánchez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Montealegre del Castillo,Castilla-La Mancha,0,,,9180,,655.71,9180,Sin dedicación
Ángeles Martínez García,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Munera,Castilla-La Mancha,21422.16,,,0,,1530.15,21422.16,Dedicación Parcial
